gvkey,datadate,conm,atq,dlcq,dlttq,ltq
017120,12/31/2018,MNSN HOLDINGS INC,56927.979,631.412,696.465,51663.136
017120,3/31/2019,MNSN HOLDINGS INC,60160.285,14.455,901.882,54676.462
017120,6/30/2019,MNSN HOLDINGS INC,63773.739,24.252,892.296,58067.564
017120,9/30/2019,MNSN HOLDINGS INC,68231.233,18.898,889.77,62182.764
017120,12/31/2019,MNSN HOLDINGS INC,71004.903,17.43,566.834,64383.823
017120,3/31/2020,MNSN HOLDINGS INC,75009.64,3138.162,575.347,67826.419
017120,6/30/2020,MNSN HOLDINGS INC,85730.985,50.924,1082.577,78262.672
017120,9/30/2020,MNSN HOLDINGS INC,96916.771,19.068,1090.082,88949.391
017120,12/31/2020,MNSN HOLDINGS INC,115511.007,20.553,1103.182,107077.516
017120,3/31/2021,MNSN HOLDINGS INC,142346.62,38.434,1625.596,132225.841
017120,6/30/2021,MNSN HOLDINGS INC,163399,34,2111,151432
017120,9/30/2021,MNSN HOLDINGS INC,190996,97,2315,176327
017120,12/31/2021,MNSN HOLDINGS INC,211478,121,2958,194869
017120,3/31/2022,MNSN HOLDINGS INC,220355,99,2945,203995
017120,6/30/2022,MNSN HOLDINGS INC,214389,3703,3744,198113
017120,9/30/2022,MNSN HOLDINGS INC,212867,13552,3797,197057
017120,12/31/2022,MNSN HOLDINGS INC,211793,15565,3783,195498
