group,report_date,ratio,n_nonnull,p50,p75,p90,p95,p99
all_banks,2014-03-31,assets_growth_yoy_ma_4y,0,,,,,
all_banks,2014-06-30,assets_growth_yoy_ma_4y,0,,,,,
all_banks,2014-09-30,assets_growth_yoy_ma_4y,0,,,,,
all_banks,2014-12-31,assets_growth_yoy_ma_4y,0,,,,,
all_banks,2015-03-31,assets_growth_yoy_ma_4y,0,,,,,
all_banks,2015-06-30,assets_growth_yoy_ma_4y,0,,,,,
all_banks,2015-09-30,assets_growth_yoy_ma_4y,0,,,,,
all_banks,2015-12-31,assets_growth_yoy_ma_4y,0,,,,,
all_banks,2016-03-31,assets_growth_yoy_ma_4y,0,,,,,
all_banks,2016-06-30,assets_growth_yoy_ma_4y,0,,,,,
all_banks,2016-09-30,assets_growth_yoy_ma_4y,0,,,,,
all_banks,2016-12-31,assets_growth_yoy_ma_4y,5965,0.03789340969854266,0.07932012805068142,0.15633764782650078,0.22604502798511933,0.49557814628266733
all_banks,2017-03-31,assets_growth_yoy_ma_4y,5905,0.03847391464215032,0.07989327144164093,0.15621225806564665,0.21982114283660137,0.4587632465768719
all_banks,2017-06-30,assets_growth_yoy_ma_4y,5836,0.038642998659776516,0.07907990044947433,0.15426908147488672,0.22125733382480683,0.4443000805132326
all_banks,2017-09-30,assets_growth_yoy_ma_4y,5784,0.03887072043196399,0.07981907653244429,0.1547547628477302,0.21883634342095212,0.4286628719402868
all_banks,2017-12-31,assets_growth_yoy_ma_4y,5715,0.039047089788919465,0.08029280653859576,0.15152255889012195,0.21647921684073068,0.42619668052394466
all_banks,2018-03-31,assets_growth_yoy_ma_4y,5648,0.03932328927282727,0.0798028284787792,0.15198469347856225,0.21685032356330494,0.43220573948122126
all_banks,2018-06-30,assets_growth_yoy_ma_4y,5583,0.03906992997646297,0.0791581181445224,0.15058454609614436,0.21678773089223186,0.43305635542424914
all_banks,2018-09-30,assets_growth_yoy_ma_4y,5517,0.03896875424534523,0.0788259416431376,0.1505233691146359,0.21282525876489916,0.437387052468464
all_banks,2018-12-31,assets_growth_yoy_ma_4y,5444,0.03902551762127697,0.07894512076356186,0.14835994586912502,0.21105310377354342,0.4378000032793083
all_banks,2019-03-31,assets_growth_yoy_ma_4y,5398,0.038738402341875866,0.07845292084345154,0.1468806389898024,0.21100391022963355,0.426902318524254
all_banks,2019-06-30,assets_growth_yoy_ma_4y,5333,0.039062059511748744,0.07867476357036494,0.14623871505219024,0.21417586247412654,0.43165210908738727
all_banks,2019-09-30,assets_growth_yoy_ma_4y,5284,0.03988285585230601,0.07969008829955226,0.14706772538025914,0.21758414829971268,0.43592259594516114
all_banks,2019-12-31,assets_growth_yoy_ma_4y,5201,0.04020593641857614,0.0805162243468603,0.1459502604515085,0.22101044495993077,0.4363049575825795
all_banks,2020-03-31,assets_growth_yoy_ma_4y,5137,0.041865420530101075,0.08194203495394509,0.14944855921784786,0.21795516564414238,0.4377194599252969
all_banks,2020-06-30,assets_growth_yoy_ma_4y,5087,0.04907059374673101,0.0893591675992825,0.15600019925081265,0.2272767418113534,0.4721760250234821
all_banks,2020-09-30,assets_growth_yoy_ma_4y,5054,0.05553785388838009,0.09560654309917839,0.16571957265958767,0.23254760808432576,0.49699903958080766
all_banks,2020-12-31,assets_growth_yoy_ma_4y,5022,0.06321672311933574,0.10407043857872704,0.17242427634278087,0.24586735899063422,0.5357938596750882
all_banks,2021-03-31,assets_growth_yoy_ma_4y,4997,0.07293299981069665,0.11388501590029519,0.18703048160678298,0.2551800245775101,0.5791232962096985
all_banks,2021-06-30,assets_growth_yoy_ma_4y,4966,0.07691628145910881,0.11666570800698195,0.18865003254616852,0.25820026953514286,0.6036432477869976
all_banks,2021-09-30,assets_growth_yoy_ma_4y,4928,0.08083473460749696,0.1207911073149903,0.19067761820598902,0.26347393045277934,0.6294642897996617
all_banks,2021-12-31,assets_growth_yoy_ma_4y,4853,0.08459677504374057,0.12445690239872877,0.1944571096472657,0.26713390652503816,0.6355069552847112
all_banks,2022-03-31,assets_growth_yoy_ma_4y,4813,0.08693664512125204,0.12806129821106205,0.19733850530163735,0.26606654320986717,0.6609381857327495
all_banks,2022-06-30,assets_growth_yoy_ma_4y,4787,0.0880514293294343,0.1305794420908916,0.1985690819893681,0.26789483802449293,0.7177335088781962
all_banks,2022-09-30,assets_growth_yoy_ma_4y,4762,0.08899651178655035,0.13152836187066133,0.2004558555958091,0.2718511982862381,0.7084196137916062
all_banks,2022-12-31,assets_growth_yoy_ma_4y,4720,0.08840189231090478,0.13101890419099882,0.19830500887911778,0.2758421612517456,0.6762678358509805
all_banks,2023-03-31,assets_growth_yoy_ma_4y,4686,0.08717953959721106,0.12916784446249618,0.19717833085093028,0.2768042763786007,0.6781895843929155
all_banks,2023-06-30,assets_growth_yoy_ma_4y,4659,0.08617852658827906,0.1273310405271723,0.19391558520590338,0.2721809592850057,0.6758450476983726
all_banks,2023-09-30,assets_growth_yoy_ma_4y,4629,0.08480901792710818,0.12517402204298228,0.19423872049765661,0.2740651516708588,0.6763763817855758
all_banks,2023-12-31,assets_growth_yoy_ma_4y,4605,0.08406228189829737,0.12480619487391845,0.19479828431387694,0.27466737821698145,0.6845833641364008
all_banks,2024-03-31,assets_growth_yoy_ma_4y,4588,0.08238302900256239,0.12230002921905338,0.19122347073639626,0.26695974401003536,0.6527574078567859
all_banks,2024-06-30,assets_growth_yoy_ma_4y,4563,0.07533953029428198,0.11361693340308306,0.1797228681445536,0.2479085854572176,0.6112905904507862
all_banks,2024-09-30,assets_growth_yoy_ma_4y,4540,0.0686060869485273,0.10507255553405222,0.16605887386710175,0.23579622184951896,0.5617249947863209
all_banks,2024-12-31,assets_growth_yoy_ma_4y,4509,0.06061607088380749,0.09698726234169136,0.1554657664494849,0.22712323764437262,0.5538269724395845
all_banks,2025-03-31,assets_growth_yoy_ma_4y,4490,0.05093145398224089,0.08698878118832397,0.1426842423802366,0.2182554626680774,0.5242658198835498
all_banks,2025-06-30,assets_growth_yoy_ma_4y,4449,0.04745845853766563,0.08437640689958123,0.1415001219760592,0.21123482100884505,0.5193716334795172
all_banks,2025-09-30,assets_growth_yoy_ma_4y,4411,0.04396699465116599,0.07989765314304291,0.1384603024118738,0.20365243000023425,0.5445148573957834
all_banks,2025-12-31,assets_growth_yoy_ma_4y,4370,0.0408364313977642,0.07644485880701782,0.1366999213087573,0.20257580797673838,0.5349333917842585
regional_banks,2014-03-31,assets_growth_yoy_ma_4y,0,,,,,
regional_banks,2014-06-30,assets_growth_yoy_ma_4y,0,,,,,
regional_banks,2014-09-30,assets_growth_yoy_ma_4y,0,,,,,
regional_banks,2014-12-31,assets_growth_yoy_ma_4y,0,,,,,
regional_banks,2015-03-31,assets_growth_yoy_ma_4y,0,,,,,
regional_banks,2015-06-30,assets_growth_yoy_ma_4y,0,,,,,
regional_banks,2015-09-30,assets_growth_yoy_ma_4y,0,,,,,
regional_banks,2015-12-31,assets_growth_yoy_ma_4y,0,,,,,
regional_banks,2016-03-31,assets_growth_yoy_ma_4y,0,,,,,
regional_banks,2016-06-30,assets_growth_yoy_ma_4y,0,,,,,
regional_banks,2016-09-30,assets_growth_yoy_ma_4y,0,,,,,
regional_banks,2016-12-31,assets_growth_yoy_ma_4y,105,0.08567858048777868,0.18313926435877823,0.2981463355863137,0.47976802371224103,0.9064186649191813
regional_banks,2017-03-31,assets_growth_yoy_ma_4y,109,0.0811514154548215,0.170530775410766,0.30944014623799276,0.4228212954380531,0.8043331460409782
regional_banks,2017-06-30,assets_growth_yoy_ma_4y,112,0.08522732116426474,0.17108927666475834,0.2910225274279128,0.4117117854025865,0.7285019025178261
regional_banks,2017-09-30,assets_growth_yoy_ma_4y,116,0.0903487876553522,0.18809362090063397,0.29357683588889705,0.41397207008779824,0.6603187010244285
regional_banks,2017-12-31,assets_growth_yoy_ma_4y,114,0.09825489894722456,0.1796271909393184,0.26999473407042657,0.4162507423212785,0.6117353404400119
regional_banks,2018-03-31,assets_growth_yoy_ma_4y,123,0.11266932029118225,0.1849710374924881,0.28887419968949823,0.42001135226138153,0.5724886288615172
regional_banks,2018-06-30,assets_growth_yoy_ma_4y,125,0.10936034072516991,0.18386910404554668,0.2942454192347168,0.39982042938585294,0.5343865716968355
regional_banks,2018-09-30,assets_growth_yoy_ma_4y,129,0.10333372433779987,0.18689797742697697,0.3283217694974008,0.42365815498326453,0.585846525951449
regional_banks,2018-12-31,assets_growth_yoy_ma_4y,128,0.10075221169246293,0.18535721428632249,0.315160844324691,0.4362782137245948,0.5592081612151157
regional_banks,2019-03-31,assets_growth_yoy_ma_4y,132,0.11169500332009515,0.1808347742390241,0.31052528593824597,0.3961637130070804,0.5565286829652425
regional_banks,2019-06-30,assets_growth_yoy_ma_4y,132,0.1064891075976501,0.17895431468039935,0.2914476259691497,0.3947373245230057,0.5568732626231556
regional_banks,2019-09-30,assets_growth_yoy_ma_4y,134,0.1154632182209448,0.18081137093066868,0.29927332643262733,0.4052950353925709,0.5586086868590316
regional_banks,2019-12-31,assets_growth_yoy_ma_4y,130,0.11196442878330029,0.17505961570823753,0.30175745310980095,0.382546143930448,0.5064964416753582
