group,report_date,ratio,n_nonnull,p50,p75,p90,p95,p99
all_banks,2014-03-31,demand_dep_to_assets,6794,0.13170138204660511,0.18927797593778325,0.25539701414356164,0.30526799554516804,0.4356298341970586
all_banks,2014-03-31,demand_plus_mmda_to_assets,6794,0.281535580007816,0.3810835009340776,0.5004737176158742,0.5790912477577576,0.7308315466027497
all_banks,2014-03-31,htm_ac_minus_fv_to_equity,6793,0.0,0.0,0.00141704014551598,0.011406957571964612,0.07153406116891933
all_banks,2014-03-31,htm_to_assets,6794,0.0,0.01297281885152524,0.10850186826811804,0.20452842125702475,0.45675796828743165
all_banks,2014-03-31,htm_to_total_securities,6607,0.0,0.10781151766234096,0.6792899794116906,1.0,1.0
all_banks,2014-03-31,nonmaturity_dep_to_total_dep,6728,0.9633780313752178,0.9814883889400666,0.9927109693743017,1.0,1.0
all_banks,2014-03-31,total_ac_minus_fv_to_equity,6793,0.0016899028305872412,0.023776223776223775,0.06788674375594252,0.11457909088741142,0.31788350767037893
all_banks,2014-03-31,total_securities_to_assets,6794,0.21171107315930748,0.33407549517614754,0.4660336127628718,0.5460186765607816,0.7336561845462011
all_banks,2014-03-31,transaction_dep_to_assets,6794,0.24957493781647594,0.344874136051904,0.42200030084817114,0.472214476268455,0.5744986334217758
all_banks,2014-03-31,uninsured_dep_to_assets,696,0.18533384379368556,0.28180969530159294,0.3891185480707546,0.4477390056672824,0.6217595893738777
all_banks,2014-03-31,uninsured_dep_to_total_dep,692,0.2316584093545795,0.36097771755782787,0.5,0.6191967298852104,0.9196024768757498
all_banks,2014-06-30,demand_dep_to_assets,6721,0.13211382113821138,0.18874400111674297,0.2576177350028032,0.3107746612272053,0.43589230375540444
all_banks,2014-06-30,demand_plus_mmda_to_assets,6721,0.2794697472589649,0.3825990593065062,0.49863940767745973,0.5773463567751032,0.7242347276688338
all_banks,2014-06-30,htm_ac_minus_fv_to_equity,6721,0.0,0.0,0.0,0.003505782903574588,0.04296990246369214
all_banks,2014-06-30,htm_to_assets,6721,0.0,0.014029829186378245,0.10805673606254595,0.20855878919740786,0.4670058036966347
all_banks,2014-06-30,htm_to_total_securities,6537,0.0,0.11051790272855239,0.6828509286505259,1.0,1.0
all_banks,2014-06-30,nonmaturity_dep_to_total_dep,6657,0.9629796279343997,0.9813335899162898,0.9926184512763024,1.0,1.0
all_banks,2014-06-30,total_ac_minus_fv_to_equity,6721,-0.003353747448235637,0.005923000987166831,0.03341500286712193,0.0658793135264809,0.17690013351769426
all_banks,2014-06-30,total_securities_to_assets,6721,0.21189239752547095,0.33433217258746695,0.4694348147454116,0.550827489481066,0.7374146278168522
all_banks,2014-06-30,transaction_dep_to_assets,6721,0.24939236728022174,0.3391643776203557,0.41739455578821416,0.47079694323144106,0.5639728122837119
all_banks,2014-06-30,uninsured_dep_to_assets,685,0.18095939314010262,0.28096424652819063,0.3911822644762049,0.4602824996572836,0.618426974813109
all_banks,2014-06-30,uninsured_dep_to_total_dep,681,0.23546421415785304,0.3674208588957055,0.5009769267405156,0.6299740194854232,0.9130929073534848
all_banks,2014-09-30,demand_dep_to_assets,6651,0.13386491242370338,0.19232128509098903,0.26063612258090046,0.31192687843966727,0.43905495668213546
all_banks,2014-09-30,demand_plus_mmda_to_assets,6651,0.2809492470287639,0.38354430396116723,0.5047523202504752,0.5845174039378049,0.7319056325314242
all_banks,2014-09-30,htm_ac_minus_fv_to_equity,6649,0.0,0.0,0.0,0.003449515125413948,0.03554291868121995
all_banks,2014-09-30,htm_to_assets,6651,0.0,0.014031616369031916,0.10571010894238468,0.205678068878306,0.4710942445829419
all_banks,2014-09-30,htm_to_total_securities,6468,0.0,0.11103911806744898,0.6723957765882581,1.0,1.0
all_banks,2014-09-30,nonmaturity_dep_to_total_dep,6590,0.9627255072103955,0.9814435040195241,0.992793086006911,1.0,1.0
all_banks,2014-09-30,total_ac_minus_fv_to_equity,6649,-0.0023175431394101523,0.006582945108365404,0.030290419565328495,0.05862089870655672,0.16040670536739296
all_banks,2014-09-30,total_securities_to_assets,6651,0.20953480818506623,0.329766315534476,0.46724327115471503,0.5449635443269683,0.7258707803980939
all_banks,2014-09-30,transaction_dep_to_assets,6651,0.24861384711478404,0.33800399383065804,0.4183627876564288,0.471758716726723,0.5722385102255613
all_banks,2014-09-30,uninsured_dep_to_assets,680,0.19172895358334877,0.28549613863521606,0.39515854648470927,0.46606348538353815,0.6439190228022373
all_banks,2014-09-30,uninsured_dep_to_total_dep,677,0.2419630136406596,0.36392423067156404,0.5132906943958397,0.6383694121565661,0.9261083026514518
all_banks,2014-12-31,demand_dep_to_assets,6570,0.14013817799263983,0.2014100165793738,0.266766020919355,0.320003012964112,0.45523356931541953
all_banks,2014-12-31,demand_plus_mmda_to_assets,6570,0.2840170722392934,0.3889152632944684,0.5098179546226118,0.5827623578639297,0.7258793793628687
all_banks,2014-12-31,htm_ac_minus_fv_to_equity,6568,0.0,0.0,0.0,0.0009032979661485921,0.020399869145640678
all_banks,2014-12-31,htm_to_assets,6570,0.0,0.013609598746177575,0.10233595570513322,0.20052959275252913,0.4584093999927253
all_banks,2014-12-31,htm_to_total_securities,6388,0.0,0.11461003852592211,0.6687578653508996,1.0,1.0
all_banks,2014-12-31,nonmaturity_dep_to_total_dep,6510,0.9629909823164924,0.9814243267323675,0.9929277156165366,1.0,1.0
all_banks,2014-12-31,total_ac_minus_fv_to_equity,6568,-0.006542360422734221,0.0008662016187574412,0.013972929304472314,0.029509478678299658,0.08221494070989227
all_banks,2014-12-31,total_securities_to_assets,6570,0.20204852917797456,0.32091098741921725,0.45729408322821213,0.5344797189772491,0.7260918829025579
all_banks,2014-12-31,transaction_dep_to_assets,6570,0.259293767056698,0.3500086142947971,0.4315882566698498,0.4807758340317232,0.582370876693008
all_banks,2014-12-31,uninsured_dep_to_assets,676,0.1988032630666856,0.29567148061970727,0.4045360681339595,0.4680326434986898,0.6521807326844034
all_banks,2014-12-31,uninsured_dep_to_total_dep,674,0.2547151474406719,0.37668226683521755,0.5132458798024001,0.6323440348178692,0.926992244795145
all_banks,2015-03-31,demand_dep_to_assets,6480,0.13815754104722747,0.19991501369036452,0.2681884930473962,0.319359023777917,0.456967837108298
all_banks,2015-03-31,demand_plus_mmda_to_assets,6480,0.2865755845156219,0.3924687950311294,0.5131141546422632,0.5871216394752359,0.7416100495286513
all_banks,2015-03-31,htm_ac_minus_fv_to_equity,6478,0.0,0.0,0.0,0.0,0.00570651501450708
