group,ratio,n_nonnull,p50,p75,p90,p95,p99
all_banks,uninsured_dep_to_total_dep,977,0.32264291793093647,0.42056515604664385,0.5216686815870596,0.5808826239513268,0.8182519567374357
all_banks,uninsured_dep_to_wholesale_dep_proxy,968,1.6927781180082495,3.1004998705904265,5.412666645133805,8.772718156852942,25.606495872390614
all_banks,demand_dep_to_assets,4392,0.19992320341875588,0.28082361882694845,0.3742591842073578,0.43484887770493214,0.5675031458237446
all_banks,transaction_dep_to_assets,4392,0.3262188814550139,0.40989559504628736,0.48937460479932543,0.5356352877036142,0.6650501963753562
all_banks,wholesale_funding_to_assets,4392,0.1764812802138525,0.2979399379257574,0.44574916121368036,0.5631324640951919,0.8212429416760605
all_banks,htm_to_total_securities,4260,0.0,0.08691246324760898,0.5440942513958623,0.9799944548041878,1.0
all_banks,htm_to_assets,4392,0.0,0.008647494734649059,0.08774801248189104,0.1627607480342005,0.4180947771892979
all_banks,total_securities_to_assets,4392,0.17707200449178506,0.27984118140275716,0.39952501965270654,0.4814321788982578,0.6577534688891113
all_banks,brokered_deposits_to_assets,4392,0.0,0.037474443284900606,0.10157608007786233,0.1636849677191824,0.3099793705363852
all_banks,large_time_deposits_to_total_dep,4336,0.08199126690249163,0.12363702909316687,0.17758787374033175,0.22078486646800008,0.33408924059519973
all_banks,fhlb_advances_to_assets,4392,0.0020423019336353833,0.039359103890671966,0.08338108507688231,0.11563773397230913,0.19158512252923482
all_banks,repos_to_assets,4392,0.0,0.0,0.005163049506889784,0.021511790034211387,0.06712634922864504
all_banks,fed_funds_purchased_to_assets,4392,0.0,0.0,0.0,0.0031761502630004847,0.029151676698946027
all_banks,total_unrealized_loss_to_equity,4390,0.06455815983609746,0.1635589584264932,0.315510297836077,0.4532752663320578,0.9068926410922333
all_banks,htm_unrealized_loss_to_equity,4390,0.0,0.0001466035418140335,0.0333828906244395,0.08842588520017983,0.2725950303710578
regional_banks,uninsured_dep_to_total_dep,152,0.3977801835659682,0.48718752707872437,0.570449283146654,0.6712564333559747,0.9897772654712559
regional_banks,uninsured_dep_to_wholesale_dep_proxy,150,2.5451644193516825,4.470774485454039,8.352013102484115,12.062949454835696,19.330564291896827
regional_banks,demand_dep_to_assets,152,0.20478120260377752,0.318808726922437,0.4497464166765461,0.5134877661748957,0.5608592770994927
regional_banks,transaction_dep_to_assets,152,0.29601922416893683,0.4186942729468195,0.4979004102248911,0.5289902535453703,0.5965112397339252
regional_banks,wholesale_funding_to_assets,152,0.18324203124495148,0.30381876186699924,0.5194035277290099,0.6835511453421945,0.7660912985233416
regional_banks,htm_to_total_securities,151,0.23277422468927236,0.3921690472350473,0.6004965801232374,0.732874332527678,0.9402427962407225
regional_banks,htm_to_assets,152,0.03925217899341446,0.07965552352642515,0.12323760245970454,0.2014802705870392,0.476288651768906
regional_banks,total_securities_to_assets,152,0.1796807487481013,0.24372844808063615,0.329291744317459,0.4516269192488069,0.7658127440095179
regional_banks,brokered_deposits_to_assets,152,0.03623240749438558,0.07341440165872062,0.17759846946098756,0.2702610029512815,0.4614916043461086
regional_banks,large_time_deposits_to_total_dep,152,0.03986486902881493,0.06428613633503938,0.10551567199575834,0.11925422130151736,0.2512641797748648
regional_banks,fhlb_advances_to_assets,152,0.009790542202381122,0.037339290122856084,0.07185952768535377,0.10344006244347109,0.2532473283854703
regional_banks,repos_to_assets,152,0.0003908647344305167,0.00411230580316143,0.016800759778394347,0.032844542814734846,0.07992533982521528
regional_banks,fed_funds_purchased_to_assets,152,0.0,0.0,0.0031619200782595654,0.007662781655590758,0.02071819208488081
regional_banks,total_unrealized_loss_to_equity,152,0.07604655774407071,0.15002279694399923,0.24695828770109596,0.38062537077534003,0.7740731333442542
regional_banks,htm_unrealized_loss_to_equity,152,0.010845379706430274,0.03826521406220241,0.10247142397557957,0.17705911390081563,0.36502161538823513
