PERMNO,TICKER,CUSIP,COMNAM
91501,FXCB,35137T10,FOX CHASE BANCORP INC
91501,FXCBD,35137T10,FOX CHASE BANCORP INC
91508,TDBK,88637410,TIDELANDS BANCSHARES INC
91514,VPFG,52471Y10,VIEWPOINT FINANCIAL GROUP
91514,VPFG,52471Y10,VIEWPOINT FINANCIAL GROUP INC
91514,LTXB,52471Y10,LEGACYTEXAS FINANCIAL GROUP INC
91608,CZFC,17462Q10,CITIZENS FIRST CORP
91609,CZWI,17490310,CITIZENS CMNTY BANCORP INC MD
91622,SONA,74167B10,SOUTHERN NATIONAL BANCORP VA INC
91622,FRST,74167B10,PRIMIS FINANCIAL CORP
91731,ALLB,01890A10,ALLIANCE BANCORP INC PA
91731,ALLB,01890A10,ALLIANCE BANCORP INC PA NEW
91736,HBNK,40867E10,HAMPDEN BANCORP INC
91743,ORIT,68633D10,ORITANI FINANCIAL CORP
91743,ORIT,68633D10,ORITANI FINANCIAL CORP NEW
91744,OSBK,68764U10,OSAGE BANCSHARES INC
91855,SFNC,82873020,SIMMONS 1ST NATIONAL CORP
91897,FCAL,31939510,FIRST CALIFORNIA FINL GROUP INC
91908,SSFN,86032610,STEWARDSHIP FINANCIAL CORP
91911,VSBN,91792710,V S B BANCORP INC NY
91955,ASFN,04887710,ATLANTIC SOUTHERN FINL GROUP INC
91956,CMSB,12600U10,C M S BANCORP INC
91959,ESSA,29667D10,E S S A BANCORP INC
91968,TFSL,87240R10,TFS FINANCIAL CORP
92094,FCVA,31943810,FIRST CAPITAL BANCORP INC VA
92195,BNCL,08171T10,BENEFICIAL MUTUAL BANCORP INC
92195,BNCL,08171T10,BENEFICIAL BANCORP INC
92198,EBTX,29255V20,ENCORE BANCSHRES INC
92201,LABC,54619P10,LOUISIANA BANCORP INC
92299,BFED,07358210,BEACON FEDERAL BANCORP INC
92303,FFNW,32022K10,FIRST FINANCIAL NORTHWEST INC
92308,LPSB,51665110,LAPORTE BANCORP INC
92308,LPSB,51665110,LAPORTE BANCORP INC MD
92312,RODM,25456U10,RODMAN & RENSHAW CAP GRP INC NEW
92312,MKTS,25456U10,DIRECT MARKETS HOLDINGS CORP
92318,TOWN,89214P10,TOWNEBANK
92434,FABK,31848L10,FIRST ADVANTAGE BANCORP
92443,NFBK,66611T10,NORTHFIELD BANCORP INC
92443,NFBK,66611T10,NORTHFIELD BANCORP INC DE
92461,GFLB,39052810,GREAT FLORIDA BANK
92522,DNBK,23644210,DANVERS BANCORP INC
92523,EBSB,58958U10,MERIDIAN INTERSTATE BANCORP INC
92523,EBSB,58958U10,MERIDIAN BANCORP INC
92525,FPBN,33589410,1ST PACIFIC BANCORP CA
92555,CBNJ,13920910,CAPE BANCORP INC
92593,MOFG,59851110,MIDWESTONE FINANCIAL GRP INC NEW
92685,MLVF,56140910,MALVERN FEDERAL BANCORP INC
92685,MLVF,56140910,MALVERN FEDERAL BANCORP INC NEW
92685,MLVF,56140910,MALVERN BANCORP INC
92716,BDGE,25432X10,BRIDGE BANCORP INC
92716,DCOM,25432X10,DIME COMMUNITY BANCSHRS INC NEW
92807,ASRV,03074A10,AMERISERV FINANCIAL INC
92809,FSFG,33621E10,FIRST SAVINGS FINANCIAL GRP INC
92810,HBCP,43689E10,HOME BANCORP INC
92851,BKYF,06289610,BANK OF KENTUCKY FINANCIAL CORP
92870,FCTY,31943X10,1ST CENTURY BANKSHARES INC
92873,DNBF,23323710,D N B FINANCIAL CORP
92878,OVLY,67180710,OAK VALLEY BANCORP
92919,ORRF,68738010,ORRSTOWN FINANCIAL SERVICES INC
92920,TOBC,89170910,TOWER BANCORP INC
92987,TBNK,88145X10,TERRITORIAL BANCORP INC
93040,FUBC,33740N10,1ST UNITED BANCORP INC
93043,HUVL,44417210,HUDSON VALLEY HOLDING CORP
93043,HVB,44417210,HUDSON VALLEY HOLDING CORP
93081,FCEC,31947W10,FIRST CHESTER COUNTY CORP
93131,EMCF,29082810,EMCLAIRE FINANCIAL CORP
