CZFC
CMSB
TSBK
NASB
FRST
CLBH
SVBI
NBBC
SMMF
PLBC
BKOR
SSBI
WTBA
FBSI
MFNC
CNAF
FCVA
MLVF
WAYN
CFFC
CMFB
LSBI
HIFS
MSFG
ATLO
NKSH
PBHC
2574974D
CBNJ
TDBK
PMBC
FCNCA
CIVB
BERK
FKFS
MBFI
CVBF
NFBK
JXSB
FABK
ABVA
OSHC
CARV
FSGI
0977894D
ASBI
WNEB
MCBF
IBNKQ
WTNY
FCAP
VYFC
TSFG
PBCI
TCBK
IBCP
MPB
DEAR
ABCWQ
FPFCQ
1492800D
OVLY
CHCO
FFCH
DNBK
CFCB
FITB
NTRS
INDB
BSF
CCBD
FPBI
2412675D
PABK
NBTB
EMCF
COB
ASFN
OSBC
HFFC
PFBX
CSHB
INCB
HCBK
ATBC
CBKN
OKSB
TOBC
PNBK
RVSB
VSBN
OPOF
VSB
LTXB
IFSB
MBTF
BPFH
2360331D
OPHC
9961020D
CSFL
TBNK
GCBC
NWBI
IBOC
HTBK
NSFC
BCSB
9990201D
AMRB
HAFC
NOVB
TBBK
FFNM
SBCF
PFED
BRKL
SMBC
DNBF
BKSC
THFF
BPOP
STBC
1847572D
WSBC
PCBS
HWFGQ
PSBH
ORIT
MFSF
METR
BFED
SBNY
CWLZ
FFNW
ALLB
IBKC
1935465D
OVBC
SASR
HOMB
1313821D
YCB
ASB
GFED
VBFC
XBKS
AMFIQ
UNTY
UBNK
NBTF
AUBN
HBNK
PWOD
BANR
SLCT
KFFB
TFSL
FFCO
OLBK
PVFC
PFBI
BANC
OCFC
PKBK
BBNK
CZNC
CVLY
MROE
HBCP
FSFG
NBN
CCBP
ACFC
EVBN
9876547D
BCBP
UBCP
FMARQ
JFBI
CLFC
TOWN
MNRK
1740293D
CACB
FTBK
FRME
BANF
2451566D
CSBK
AROW
WBNK
UVSP
GABC
ESBK
CPBK
FFIC
ISBC
WSBF
CWBS
ABBC
NEBS
FBNC
HBOS
FUSB
ONFC
CATY
PFC
BUSE
COBK
LNBB
HVB
FFKT
COLB
FFKY
LEGC
GSLA
FLIC
BFSB
CBSH
FMER
TRMK
FFBC
UMBF
WABC
FMBI
1368189D
TCBI
FULT
PACW
GBCI
FCFL
SBIB
HBAN
HWC
AUB
PBCT
FCTY
UBFO
CNOB
FSBI
FUNC
2553588D
HTLF
FRBKQ
ZION
FNLC
FFDF
PROV
ROME
BKYF
CZWI
2521595D
FFHS
GSBC
CBAN
NWFL
BKBK
NPBC
TAYC
CWBC
2590801D
CTBC
HARL
BSRR
YDKN
FBSS
UWBKQ
TIBB
SFNC
FCCY
SSB
PPBI
WVFC
FSBK
SIVBQ
BBT
FCEC
SCMF
ORRF
STBA
1495307D
CASB
VCBI
SBSI
MBVT
SNBC
SHBI
SUSQ
SUPR
LBAI
GLBZ
LSBX
SMTB
CJBK
CVBK
FCLF
TRST
WAIN
9990279D
UBSI
MGYR
PCBK
WAFD
ANNB
MBWM
2176066D
CASH
SSFN
MBRG
BFIN
CFBK
PB
TONEQ
CFFI
2560316D
CSBC
FFIN
UCBA
TRCB
1523541D
EVBS
HFWA
FSNMQ
1518080D
HFBC
BTFG
CSNT
MCBC
FNSCQ
BYBK
GGAL
MFLR
BNCN
PFBC
SOCB
PEBO
FUBC
NFSB
WIBC
1489775D
CAC
BAYN
HNBC
LSBG
EGBN
SOMH
FCCO
BOFLQ
BNCL
NRIM
CFNL
FXCB
RBCAA
BOCH
EUBK
AMNB
CTBK
UCFC
HOPE
CCNE
TAMB
LKFN
BFNBQ
WBCO
PEBK
FCBC
RNST
1339658D
1692281D
HBNC
1429746D
CTBI
PNBC
COBZ
GBNK
SBBX
WTFC
ANCX
CRBC
ESBF
SBFG
MBHIQ
AWBCQ
UBOH
DCOM
RBPAA
1699715D
TOFC
CCBG
CFFN
UMPQ
LBCP
QCRH
OZK
LARK
1903510D
FPBN
SAVB
FRGBQ
BMRC
NVSL
9876560D
HWBK
LMST
1650928D
CIZN
CFNB
1433410D
CBBO
RPFG
FNFG
PVTB
SRCE
FISI
HRZB
WSFS
EBTC
SCNB
LPSB
SYBT
EWBC
SFST
BMTC
JFBC
BOKF
ESSA
PULB
UCB
LABC
MOFG
EBTX
ASRV
WCBO
UNB
ABCB
CEBK
PVSA
TCF
WASH
CNBKA
AX
BARI
CTZN
PNFP
WSB
ECBE
BKMU
PSBC
PBIP
GFLB
FBIZ
TNCC
PGC
JAXB
HMNF
BVA
2152294D
STL
FBMS
EFSC
MKTSQ
FBMI
OLCB
BYFC
FFFD
HEOP
ALNC
EBSB
1413542D
PRWT
