PERMNO,date,CUSIP,PRC,RET,SHROUT,CFACPR,CFACSHR
11786,2000-05-01,78486Q10,61.31250,-0.007085,23023,2,2
11786,2000-05-02,78486Q10,61.12500,-0.003058,23023,2,2
11786,2000-05-03,78486Q10,58.06250,-0.050102,23023,2,2
11786,2000-05-04,78486Q10,57.50000,-0.009688,23023,2,2
11786,2000-05-05,78486Q10,58.75000,0.021739,23023,2,2
11786,2000-05-08,78486Q10,58.75000,0.000000,23023,2,2
11786,2000-05-09,78486Q10,61.00000,0.038298,23023,2,2
11786,2000-05-10,78486Q10,57.25000,-0.061475,23023,2,2
11786,2000-05-11,78486Q10,60.00000,0.048035,23023,2,2
11786,2000-05-12,78486Q10,62.25000,0.037500,23023,2,2
11786,2000-05-15,78486Q10,63.56250,0.021084,23023,2,2
11786,2000-05-16,78486Q10,32.93750,0.036382,46046,1,1
11786,2000-05-17,78486Q10,32.00000,-0.028463,46046,1,1
11786,2000-05-18,78486Q10,33.87500,0.058594,46046,1,1
11786,2000-05-19,78486Q10,30.95313,-0.086255,46046,1,1
11786,2000-05-22,78486Q10,28.00000,-0.095406,46046,1,1
11786,2000-05-23,78486Q10,27.25000,-0.026786,46046,1,1
11786,2000-05-24,78486Q10,28.50000,0.045872,46046,1,1
11786,2000-05-25,78486Q10,28.00000,-0.017544,46046,1,1
11786,2000-05-26,78486Q10,28.43750,0.015625,46046,1,1
11786,2000-05-30,78486Q10,29.75000,0.046154,46046,1,1
11786,2000-05-31,78486Q10,32.81250,0.102941,46046,1,1
11786,2000-06-01,78486Q10,34.93750,0.064762,46046,1,1
11786,2000-06-02,78486Q10,39.62500,0.134168,46046,1,1
11786,2000-06-05,78486Q10,39.93750,0.007886,46046,1,1
11786,2000-06-06,78486Q10,39.75000,-0.004695,46046,1,1
11786,2000-06-07,78486Q10,38.43750,-0.033019,46046,1,1
11786,2000-06-08,78486Q10,34.93750,-0.091057,46046,1,1
11786,2000-06-09,78486Q10,38.50000,0.101968,46046,1,1
11786,2000-06-12,78486Q10,38.75000,0.006494,46046,1,1
11786,2000-06-13,78486Q10,38.43750,-0.008065,46046,1,1
11786,2000-06-14,78486Q10,39.87500,0.037398,46046,1,1
11786,2000-06-15,78486Q10,39.93750,0.001567,46046,1,1
11786,2000-06-16,78486Q10,38.25000,-0.042254,46046,1,1
11786,2000-06-19,78486Q10,39.81250,0.040850,46046,1,1
11786,2000-06-20,78486Q10,40.81250,0.025118,46046,1,1
11786,2000-06-21,78486Q10,40.75000,-0.001531,46046,1,1
11786,2000-06-22,78486Q10,39.68750,-0.026074,46046,1,1
11786,2000-06-23,78486Q10,38.81250,-0.022047,46046,1,1
11786,2000-06-26,78486Q10,39.31250,0.012882,46046,1,1
11786,2000-06-27,78486Q10,41.31250,0.050874,46046,1,1
11786,2000-06-28,78486Q10,44.43750,0.075643,46046,1,1
11786,2000-06-29,78486Q10,43.43750,-0.022504,46046,1,1
11786,2000-06-30,78486Q10,42.62500,-0.018705,46283,1,1
11786,2000-07-03,78486Q10,42.00000,-0.014663,46283,1,1
11786,2000-07-05,78486Q10,41.25000,-0.017857,46283,1,1
11786,2000-07-06,78486Q10,41.00000,-0.006061,46283,1,1
11786,2000-07-07,78486Q10,44.06250,0.074695,46283,1,1
11786,2000-07-10,78486Q10,46.50000,0.055319,46283,1,1
11786,2000-07-11,78486Q10,46.87500,0.008065,46283,1,1
11786,2000-07-12,78486Q10,45.43750,-0.030667,46283,1,1
11786,2000-07-13,78486Q10,47.06250,0.035763,46283,1,1
11786,2000-07-14,78486Q10,47.43750,0.007968,46283,1,1
11786,2000-07-17,78486Q10,49.93750,0.052701,46283,1,1
11786,2000-07-18,78486Q10,49.25000,-0.013767,46283,1,1
11786,2000-07-19,78486Q10,49.31250,0.001269,46283,1,1
11786,2000-07-20,78486Q10,49.50000,0.003802,46283,1,1
11786,2000-07-21,78486Q10,46.50000,-0.060606,46283,1,1
11786,2000-07-24,78486Q10,48.50000,0.043011,46283,1,1
11786,2000-07-25,78486Q10,49.37500,0.018041,46283,1,1
11786,2000-07-26,78486Q10,49.81250,0.008861,46283,1,1
11786,2000-07-27,78486Q10,45.56250,-0.085320,46283,1,1
11786,2000-07-28,78486Q10,44.18750,-0.030178,46283,1,1
11786,2000-07-31,78486Q10,43.81250,-0.008487,46371,1,1
11786,2000-08-01,78486Q10,42.18750,-0.037090,46371,1,1
11786,2000-08-02,78486Q10,45.50000,0.078519,46371,1,1
11786,2000-08-03,78486Q10,48.75000,0.071429,46371,1,1
11786,2000-08-04,78486Q10,48.62500,-0.002564,46371,1,1
11786,2000-08-07,78486Q10,51.92188,0.067802,46371,1,1
11786,2000-08-08,78486Q10,51.37500,-0.010533,46371,1,1
11786,2000-08-09,78486Q10,49.31250,-0.040146,46371,1,1
11786,2000-08-10,78486Q10,48.93750,-0.007605,46371,1,1
11786,2000-08-11,78486Q10,53.12500,0.085568,46371,1,1
11786,2000-08-14,78486Q10,53.56250,0.008235,46371,1,1
11786,2000-08-15,78486Q10,53.50000,-0.001167,46371,1,1
11786,2000-08-16,78486Q10,51.06250,-0.045561,46371,1,1
11786,2000-08-17,78486Q10,53.25000,0.042840,46371,1,1
11786,2000-08-18,78486Q10,53.43750,0.003521,46371,1,1
11786,2000-08-21,78486Q10,55.00000,0.029240,46371,1,1
11786,2000-08-22,78486Q10,56.18750,0.021591,46371,1,1
11786,2000-08-23,78486Q10,52.75000,-0.061179,46371,1,1
11786,2000-08-24,78486Q10,55.62500,0.054502,46371,1,1
11786,2000-08-25,78486Q10,53.93750,-0.030337,46371,1,1
11786,2000-08-28,78486Q10,53.06250,-0.016222,46371,1,1
11786,2000-08-29,78486Q10,55.37500,0.043581,46371,1,1
11786,2000-08-30,78486Q10,56.06250,0.012415,46371,1,1
11786,2000-08-31,78486Q10,57.62500,0.027871,46371,1,1
11786,2000-09-01,78486Q10,58.31250,0.011931,46371,1,1
11786,2000-09-05,78486Q10,59.18750,0.015005,46371,1,1
11786,2000-09-06,78486Q10,59.87500,0.011616,46371,1,1
11786,2000-09-07,78486Q10,59.43750,-0.007307,46371,1,1
11786,2000-09-08,78486Q10,59.18750,-0.004206,46371,1,1
11786,2000-09-11,78486Q10,61.00000,0.030623,46371,1,1
11786,2000-09-12,78486Q10,62.06250,0.017418,46371,1,1
11786,2000-09-13,78486Q10,62.43750,0.006042,46371,1,1
11786,2000-09-14,78486Q10,64.06250,0.026026,46371,1,1
11786,2000-09-15,78486Q10,56.98438,-0.110488,46371,1,1
11786,2000-09-18,78486Q10,54.25000,-0.047985,46371,1,1
11786,2000-09-19,78486Q10,51.68750,-0.047235,46371,1,1
11786,2000-09-20,78486Q10,48.87500,-0.054414,46371,1,1
11786,2000-09-21,78486Q10,48.00000,-0.017903,46371,1,1
11786,2000-09-22,78486Q10,50.81250,0.058594,46371,1,1
11786,2000-09-25,78486Q10,52.75000,0.038130,46371,1,1
11786,2000-09-26,78486Q10,50.00000,-0.052133,46371,1,1
11786,2000-09-27,78486Q10,51.00000,0.020000,46371,1,1
11786,2000-09-28,78486Q10,57.93750,0.136029,46371,1,1
11786,2000-09-29,78486Q10,58.23438,0.005124,48862,1,1
11786,2000-10-02,78486Q10,58.25000,0.000268,48862,1,1
11786,2000-10-03,78486Q10,58.50000,0.004292,48862,1,1
11786,2000-10-04,78486Q10,55.00000,-0.059829,48862,1,1
11786,2000-10-05,78486Q10,55.87500,0.015909,48862,1,1
11786,2000-10-06,78486Q10,49.00000,-0.123043,48862,1,1
11786,2000-10-09,78486Q10,48.87500,-0.002551,48862,1,1
11786,2000-10-10,78486Q10,43.12500,-0.117647,48862,1,1
11786,2000-10-11,78486Q10,43.00000,-0.002899,48862,1,1
11786,2000-10-12,78486Q10,39.62500,-0.078488,48862,1,1
11786,2000-10-13,78486Q10,40.62500,0.025237,48862,1,1
11786,2000-10-16,78486Q10,38.43750,-0.053846,48862,1,1
11786,2000-10-17,78486Q10,35.06250,-0.087805,48862,1,1
11786,2000-10-18,78486Q10,31.18750,-0.110517,48862,1,1
11786,2000-10-19,78486Q10,33.68750,0.080160,48862,1,1
11786,2000-10-20,78486Q10,40.00000,0.187384,48862,1,1
11786,2000-10-23,78486Q10,42.00000,0.050000,48862,1,1
