group,report_date,ratio,n_nonnull,p50,p75,p90,p95,p99
all_banks,2021-03-31,demand_dep_to_assets,5027,0.20573678266948503,0.28388963717286386,0.37450510624470995,0.4344015977454545,0.5847810063516494
all_banks,2021-03-31,htm_ac_minus_fv_to_equity,5027,0.0,0.0,0.0,8.199681304375058e-05,0.01757700535678921
all_banks,2021-03-31,htm_to_assets,5027,0.0,0.0034085223918370587,0.05101616090809043,0.11968612298181902,0.37134160572707636
all_banks,2021-03-31,htm_to_total_securities,4851,0.0,0.03395676330510103,0.5140837641101382,1.0,1.0
all_banks,2021-03-31,total_ac_minus_fv_to_equity,5027,-0.008640394248382966,0.0,0.01048581233813718,0.024277569347581407,0.07896544211459651
all_banks,2021-03-31,total_securities_to_assets,5027,0.16621224921341018,0.2864993451229281,0.42308759652434946,0.502900026678429,0.6886145331479611
all_banks,2021-03-31,uninsured_dep_to_assets,780,0.27955479618780843,0.38741037233183373,0.4828331328334653,0.5412905519293192,0.7511503570715322
all_banks,2021-03-31,uninsured_dep_to_total_dep,780,0.33740969955003364,0.4601370245942086,0.5748994615283337,0.6590267530869766,0.901651439524409
all_banks,2021-06-30,demand_dep_to_assets,4998,0.20850008428568026,0.28870388772155664,0.380939120468448,0.44264436339545965,0.5892470540091166
all_banks,2021-06-30,htm_ac_minus_fv_to_equity,4998,0.0,0.0,0.0,0.0,0.010523052976569079
all_banks,2021-06-30,htm_to_assets,4998,0.0,0.0037636959626479887,0.05502235466104713,0.12693601448731157,0.38626036247927303
all_banks,2021-06-30,htm_to_total_securities,4836,0.0,0.03444455295857353,0.5138336541619517,1.0,1.0
all_banks,2021-06-30,total_ac_minus_fv_to_equity,4998,-0.011914053766289144,-0.0009428578800636188,0.0029601886809293033,0.011154730311858922,0.043932096297751834
all_banks,2021-06-30,total_securities_to_assets,4998,0.18124962324920382,0.31217177648272615,0.44954527876368644,0.5328513751639902,0.7104250534846152
all_banks,2021-06-30,uninsured_dep_to_assets,779,0.28457002954960003,0.39980862569013725,0.49629143213023313,0.5549009154207567,0.7178807227977491
all_banks,2021-06-30,uninsured_dep_to_total_dep,779,0.3442870069717755,0.47532531297211617,0.5963417071580851,0.6784909327577259,0.9115868885258767
all_banks,2021-09-30,demand_dep_to_assets,4962,0.21235516341337163,0.2974490562335059,0.38860523300856153,0.4505771508056862,0.5925249684385483
all_banks,2021-09-30,htm_ac_minus_fv_to_equity,4962,0.0,0.0,0.0,0.000390498970775332,0.014398545923753633
all_banks,2021-09-30,htm_to_assets,4962,0.0,0.004091263675483505,0.05816698366097185,0.1335306174696369,0.4029304075227866
all_banks,2021-09-30,htm_to_total_securities,4800,0.0,0.034556693608253544,0.500601347684576,1.0,1.0
all_banks,2021-09-30,total_ac_minus_fv_to_equity,4962,-0.008368046298890878,0.0,0.0066672440650139666,0.015814217263665754,0.04652423018323878
all_banks,2021-09-30,total_securities_to_assets,4962,0.1893494209371766,0.32532987358610477,0.45828960369565563,0.5448000388686652,0.7123379181988536
all_banks,2021-09-30,uninsured_dep_to_assets,773,0.2920820680825648,0.4052755795687573,0.501702602278037,0.5632399625582343,0.7355171766174796
all_banks,2021-09-30,uninsured_dep_to_total_dep,773,0.34770202019323465,0.48447531882468936,0.5879189860762327,0.6759541543729493,0.9165986464298409
all_banks,2021-12-31,demand_dep_to_assets,4887,0.22033326602718087,0.3042323077509768,0.3958887489460655,0.45836820103706905,0.6053066932090089
all_banks,2021-12-31,htm_ac_minus_fv_to_equity,4887,0.0,0.0,1.304714019751829e-05,0.004685932210531655,0.030864203738517032
all_banks,2021-12-31,htm_to_assets,4887,0.0,0.004884941346148438,0.0629524174672956,0.14413768780644906,0.418241963337821
all_banks,2021-12-31,htm_to_total_securities,4734,0.0,0.0358283541227854,0.5009787026350816,0.999994617868676,1.0
all_banks,2021-12-31,total_ac_minus_fv_to_equity,4887,0.0,0.010181513779784618,0.026957737377070336,0.04185566960251338,0.08855004207237492
all_banks,2021-12-31,total_securities_to_assets,4887,0.20356670620250789,0.3373112826603891,0.4673565532731139,0.5491045790212427,0.7099475509566954
all_banks,2021-12-31,uninsured_dep_to_assets,756,0.3048128171976716,0.4127552404532676,0.5117796473059141,0.567171215052199,0.7628361176944704
all_banks,2021-12-31,uninsured_dep_to_total_dep,755,0.35898899041494536,0.4925918956845833,0.5915884445908841,0.6820390680701807,0.9261149419037576
all_banks,2022-03-31,demand_dep_to_assets,4844,0.2249145649020266,0.3108423808872333,0.4087100652372165,0.46576339449258103,0.6095348561520386
all_banks,2022-03-31,htm_ac_minus_fv_to_equity,4844,0.0,0.0,0.03200316467677376,0.08621597588701496,0.21363708102917373
all_banks,2022-03-31,htm_to_assets,4844,0.0,0.007710126761057978,0.09150914074128705,0.18129122118783153,0.4313319868123143
all_banks,2022-03-31,htm_to_total_securities,4708,0.0,0.05574245744937614,0.5904282228335981,1.0,1.0
all_banks,2022-03-31,total_ac_minus_fv_to_equity,4844,0.10205598820991836,0.20155114886760195,0.3345922770222294,0.4438154991062347,0.8392211503706419
all_banks,2022-03-31,total_securities_to_assets,4844,0.21523441921944422,0.3477048413595034,0.4725458175362906,0.5581590548781635,0.7132455021934214
all_banks,2022-03-31,uninsured_dep_to_assets,939,0.293539817232376,0.40509691931419956,0.5072725801246184,0.5679429721863292,0.7257080584461092
all_banks,2022-03-31,uninsured_dep_to_total_dep,939,0.3440872514499096,0.4776781099827456,0.5883967339539011,0.674406807006654,0.9107485457521858
all_banks,2022-06-30,demand_dep_to_assets,4821,0.22800397435131745,0.314469416540772,0.4158027156280143,0.47544468854085464,0.6065868463341662
all_banks,2022-06-30,htm_ac_minus_fv_to_equity,4812,0.0,0.0011753665328826954,0.06783612162262286,0.16170622424012315,0.3978774200207924
all_banks,2022-06-30,htm_to_assets,4821,0.0,0.011439069148154641,0.1040358597495059,0.19779166061310474,0.45145914354622246
all_banks,2022-06-30,htm_to_total_securities,4692,0.0,0.07703941349148447,0.6245741913242387,1.0,1.0
all_banks,2022-06-30,total_ac_minus_fv_to_equity,4812,0.18533291987400502,0.3916305611148263,0.7165232595492006,1.0842529119591,2.88065426364929
all_banks,2022-06-30,total_securities_to_assets,4821,0.2243544139875079,0.3512809014532104,0.4710996147670013,0.5568675840878632,0.7082269169630815
all_banks,2022-06-30,uninsured_dep_to_assets,931,0.29567697547262173,0.3971407228809778,0.5019851740840849,0.5581321628763258,0.7208487397616486
all_banks,2022-06-30,uninsured_dep_to_total_dep,931,0.3453259066024597,0.4723561245062126,0.5927484400333448,0.6700369024126795,0.9055598396109318
all_banks,2022-09-30,demand_dep_to_assets,4796,0.23216741327539253,0.3192102223779622,0.4125004627056266,0.47907149090782986,0.6109166169229938
all_banks,2022-09-30,htm_ac_minus_fv_to_equity,4764,0.0,0.006307170383356449,0.12129679328603231,0.2694975673575564,0.6112258495531082
all_banks,2022-09-30,htm_to_assets,4796,0.0,0.01510193116216756,0.12392569129825479,0.22502316173415746,0.4585053263233803
all_banks,2022-09-30,htm_to_total_securities,4677,0.0,0.11650851843864568,0.6564797967229333,1.0,1.0
all_banks,2022-09-30,total_ac_minus_fv_to_equity,4764,0.2632947978043387,0.5654162540433268,1.0397172589470285,1.5742094190834823,5.175608867437946
all_banks,2022-09-30,total_securities_to_assets,4796,0.22266645925259893,0.3480856549117329,0.4654681848448633,0.5478202399107083,0.7251309082362558
all_banks,2022-09-30,uninsured_dep_to_assets,927,0.29288439751665385,0.3931354027302637,0.49239258827568827,0.5560645996877253,0.7065047057535764
all_banks,2022-09-30,uninsured_dep_to_total_dep,927,0.3467015513241113,0.46577179671734065,0.5798262729452891,0.6678308771701894,0.8940709691970021
all_banks,2022-12-31,demand_dep_to_assets,4756,0.22884045939599715,0.31440873713905,0.4064857518574688,0.4687576022122149,0.6128361744162294
all_banks,2022-12-31,htm_ac_minus_fv_to_equity,4736,0.0,0.005409969827490473,0.10558068954454414,0.23450473708801195,0.5505664921971553
